,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm),Depth (cm),Weight (kg),Diameter (cm),Length (cm),Circumference (cm),Duration (sec.),cutBy2_0,cutBy2_1,cutBy4_0,cutBy4_1,cutBy4_2,cutBy4_3,cutBy8_0,cutBy8_1,cutBy8_2,cutBy8_3,cutBy8_4,cutBy8_5,cutBy8_6,cutBy8_7
1471,The Enigma of a Day,Giorgio de Chirico,1106,"Italian, born Greece. 1888–1978",Italian,1888,1978,Male,1914,Oil on canvas,"6' 1 1/4"" x 55"" (185.5 x 139.7 cm)",James Thrall Soby Bequest,1211.1979,Painting,Painting & Sculpture,1979-12-11,Y,80587,http://www.moma.org/collection/works/80587,http://www.moma.org/media/W1siZiIsIjQ3NjkwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=78244ce65fb1e967,185.5,139.7,,,,,,,293127,6e5f3c,293127,443c24,936a25,9e9b82,576c50,bbb8a4,936a25,8c7238,293127,918f7a,373421,524327
1472,The Duo,Giorgio de Chirico,1106,"Italian, born Greece. 1888–1978",Italian,1888,1978,Male,1914,Oil on canvas,"32 1/4 x 23 1/4"" (81.9 x 59 cm)",James Thrall Soby Bequest,1213.1979,Painting,Painting & Sculpture,1979-12-11,Y,80588,http://www.moma.org/collection/works/80588,http://www.moma.org/media/W1siZiIsIjE1MDk5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=460469ee74e8de75,81.9,59.0,,,,,,,2b3930,84673d,2b3930,76532a,746545,af935c,a9873c,2b3930,cc9068,76532a,96936e,dac5a7,495e4b,a06d3f
1473,The Seer,Giorgio de Chirico,1106,"Italian, born Greece. 1888–1978",Italian,1888,1978,Male,1914,Oil on canvas,"35 1/2 x 27 1/2"" (89.6 x 70.1 cm)",James Thrall Soby Bequest,1214.1979,Painting,Painting & Sculpture,1979-12-11,Y,80589,http://www.moma.org/collection/works/80589,http://www.moma.org/media/W1siZiIsIjQ1NzQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f4ab35a2843f297,89.6,70.1,,,,,,,2c2e2d,614d32,543e2a,2c2e2d,69542c,746648,756040,69542c,60563e,8e7b46,543e2a,a59d7f,252221,323b3a
1474,The Amusements of a Young Girl,Giorgio de Chirico,1106,"Italian, born Greece. 1888–1978",Italian,1888,1978,Male,1915,Oil on canvas,"18 3/4 x 16"" (47.5 x 40.3 cm)",James Thrall Soby Bequest,1215.1979,Painting,Painting & Sculpture,1979-12-11,Y,80590,http://www.moma.org/collection/works/80590,http://www.moma.org/media/W1siZiIsIjMyMzE4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a343757c1b7e8bb0,47.5,40.3,,,,,,,302d25,6b604a,553d2b,302d25,676e57,9c967c,a5a186,6e7e6a,553d2b,605d45,b9b398,888369,28241f,37352b
1475,The Faithful Servitor,Giorgio de Chirico,1106,"Italian, born Greece. 1888–1978",Italian,1888,1978,Male,1916,Oil on canvas,"15 1/8 x 13 5/8"" (38.2 x 34.5 cm)",James Thrall Soby Bequest,1216.1979,Painting,Painting & Sculpture,1979-12-11,Y,80591,http://www.moma.org/collection/works/80591,http://www.moma.org/media/W1siZiIsIjE1MDk5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=85a2985f580c20db,38.2,34.5,,,,,,,20221f,565a5d,2b3f5d,20221f,88693b,79837d,b89856,596f7d,c1af86,758a8b,88693b,2b3f5d,16191c,2b2a22
1476,Debris of an Automobile Giving Birth to a Blind Horse Biting a Telephone,Salvador Dalí,1364,"Spanish, 1904–1989",Spanish,1904,1989,Male,1938,Oil on canvas,"21 1/2 x 25 5/8"" (54.5 x 65.1 cm)",James Thrall Soby Bequest,1218.1979,Painting,Painting & Sculpture,1979-12-11,Y,80592,http://www.moma.org/collection/works/80592,http://www.moma.org/media/W1siZiIsIjE1OTE4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b5a25b8085926b05,54.5,65.1,,,,,,,2c2a2e,4e493e,2c2a2e,3e3b35,4d473b,716753,2c2a2e,4d473b,3e3b35,706652,5d5544,a69980,81755e,928364
1477,"My Cart, My Garden",Jean Dubuffet,1633,"French, 1901–1985",French,1901,1985,Male,1955,Oil on canvas,"35 1/8 x 45 3/4"" (89.2 x 115.9 cm)",James Thrall Soby Bequest,1219.1979,Painting,Painting & Sculpture,1979-12-11,Y,80593,http://www.moma.org/collection/works/80593,http://www.moma.org/media/W1siZiIsIjE2ODYwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ceeec056a34a5fc,89.2,115.9,,,,,,,503e31,a28e7a,826852,503e31,b3a18f,d2c6b6,4c382c,392b23,755b47,5d4a3b,8f755d,d2c6b6,a8927e,bdafa0
1478,Coffee Thyme,Sam Gilliam,2161,"American, 1933–2022",American,1933,2022,Male,1977,Acrylic and cut canvas on canvas,"7' 6 1/2"" x 9' 2"" (229.7 x 279.3 cm)",David Rockefeller Fund,1223.1979,Painting,Painting & Sculpture,1979-12-11,Y,80594,http://www.moma.org/collection/works/80594,http://www.moma.org/media/W1siZiIsIjE2NjgxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=26ef04d8c83257df,229.7,279.3,,,,,,,353231,453f3c,3f3836,353231,453f3b,524d4b,474444,3f3836,353231,554c4a,5e5850,453f3b,625e5e,746d69
1479,Comet,Ron Gorchov,2245,"American, 1930–2020",American,1930,2020,Male,1974,Oil on canvas,"62 1/2"" x 6' 3 1/2"" x 17"" (158.2 x 191.8 x 43.1 cm)",Gift of Mr. and Mrs. Gifford Phillips,1224.1979,Painting,Painting & Sculpture,1979-12-11,Y,80595,http://www.moma.org/collection/works/80595,http://www.moma.org/media/W1siZiIsIjI5ODcwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ffd24b312a06fef3,158.2,191.8,43.1,,,,,,859484,bbc6bd,8fa593,bbc6bd,646d5d,93978d,2f2c21,7a8074,8fa593,93978d,7f907c,484c3f,9cb2a1,dad9d8
1480,Mussel Gatherers at High Tide,Leonid (Leonid Berman),3487,"American, born Russia. 1896–1976",American,1896,1976,Male,1937,Oil on canvas,"21 1/4 x 31 7/8"" (54 x 81 cm)",James Thrall Soby Bequest,1228.1979,Painting,Painting & Sculpture,1979-12-11,Y,80596,http://www.moma.org/collection/works/80596,http://www.moma.org/media/W1siZiIsIjE2ODYwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f8d62262c9c6e804,54.0,81.0,,,,,,,6c6d62,999a98,7c7e77,999a98,484c40,6f6c5a,999b9c,6f6c5a,57594a,90918e,acaba8,3a3f35,79776b,808483
